City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
Rikitea,96,PF,1584197314,73,-23.12,-134.97,25.35,5.08
San Juan,70,AR,1584197113,29,-31.54,-68.54,24.15,10.77
Bahía Blanca,0,AR,1584197315,25,-38.72,-62.27,21.65,4.88
Thompson,20,CA,1584197102,75,55.74,-97.86,-28.0,1.42
Hilo,20,US,1584197315,73,19.73,-155.09,22.0,1.64
Saint Paul Harbor,1,US,1584197315,78,57.79,-152.41,-8.0,2.6
Punta Arenas,75,CL,1584197315,81,-53.15,-70.92,11.0,4.1
Atlantic City,1,US,1584197291,34,39.36,-74.42,10.56,5.7
Constitución,89,CL,1584197315,37,-35.33,-72.42,19.75,4.57
Ushuaia,75,AR,1584197315,76,-54.8,-68.3,11.0,3.6
São Paulo de Olivença,100,BR,1584197315,61,-3.38,-68.87,32.25,0.72
Puerto Madryn,0,AR,1584197250,25,-42.77,-65.04,20.55,8.88
Kailua,90,US,1584197064,73,21.4,-157.74,23.0,5.24
Chapais,90,CA,1584197315,85,49.78,-74.85,-11.0,8.7
Coquimbo,75,CL,1584197315,82,-29.95,-71.34,18.0,1.0
Osoyoos,90,CA,1584197315,38,49.03,-119.45,-4.0,9.8
Puerto Ayora,40,EC,1584197315,83,-0.74,-90.35,27.78,2.6
Logan Lake,40,CA,1584197315,43,50.5,-120.8,-9.0,9.3
Mataura,69,NZ,1584197316,83,-46.19,168.86,11.67,0.89
Corpus Christi,90,US,1584197276,88,27.8,-97.4,24.0,5.1
Port Hardy,5,CA,1584197102,42,50.7,-127.42,-1.0,8.2
Yellowknife,75,CA,1584197107,69,62.46,-114.35,-23.89,4.6
Barrow,90,US,1584197316,86,71.29,-156.79,-3.0,11.3
Saint George,90,US,1584197193,93,37.1,-113.58,9.44,3.6
Venado Tuerto,27,AR,1584197316,38,-33.75,-61.97,26.35,7.57
Redwater,90,US,1584197316,93,33.36,-94.25,11.67,2.1
Anchorage,1,US,1584197184,77,61.22,-149.9,-10.56,1.5
Lincoln,90,US,1584197248,86,40.8,-96.67,2.0,5.7
San Patricio,5,MX,1584197316,78,19.22,-104.7,25.0,2.79
Mayo,1,US,1584197316,31,38.89,-76.51,11.11,3.6
Castro,5,BR,1584197316,32,-24.79,-50.01,27.65,1.35
Tefé,100,BR,1584197316,88,-3.35,-64.71,28.0,1.5
Atuona,4,PF,1584197317,69,-9.8,-139.03,27.55,5.12
Pacific Grove,90,US,1584197317,81,36.62,-121.92,11.67,4.36
Villamaría,75,CO,1584197299,93,5.04,-75.51,17.0,1.0
Pisco,40,PE,1584197317,30,-13.7,-76.22,25.0,2.6
Sitka,1,US,1584197317,79,57.05,-135.33,-2.0,3.6
San Andrés,20,CO,1584197317,70,12.58,-81.7,29.0,5.1
Avarua,100,CK,1584197314,100,-21.21,-159.78,23.0,1.0
Fort Nelson,20,CA,1584197317,76,58.81,-122.7,-23.0,2.6
Hualmay,54,PE,1584197317,59,-11.1,-77.61,26.35,3.5
Huarmey,96,PE,1584197317,54,-10.07,-78.15,26.55,2.39
Cabo San Lucas,40,MX,1584197112,88,22.89,-109.91,20.0,5.1
Qaanaaq,0,GL,1584197317,61,77.48,-69.36,-28.75,2.84
Hailey,90,US,1584197317,100,43.52,-114.32,1.0,2.1
Thunder Bay,40,CA,1584197146,72,48.4,-89.32,-7.78,2.6
Kapaa,1,US,1584197317,88,22.08,-159.32,19.0,4.1
Caldwell,90,US,1584197317,93,43.66,-116.69,6.0,2.43
Hanna,100,CA,1584197318,83,51.63,-111.9,-18.33,6.71
Lompoc,90,US,1584197318,87,34.64,-120.46,12.22,4.35
Orocué,64,CO,1584197318,47,4.79,-71.34,32.55,3.43
North Augusta,90,US,1584197318,52,33.5,-81.97,22.0,3.1
San Quintín,0,MX,1584197164,80,30.48,-115.95,14.75,1.65
San Felipe,61,VE,1584197318,55,10.34,-68.74,29.05,2.8
Gimli,97,CA,1584197318,92,50.63,-96.99,-17.78,2.24
Whitehorse,5,CA,1584197033,83,60.72,-135.05,-21.67,1.0
Codajás,68,BR,1584197318,77,-3.84,-62.06,31.15,0.75
Jamestown,75,US,1584197093,80,42.1,-79.24,2.78,3.6
Narsaq,75,GL,1584197318,67,60.92,-46.05,-5.0,1.5
Santa Rosa,20,PH,1584197318,74,14.31,121.11,28.33,2.1
Redmond,90,US,1584197053,74,47.67,-122.12,2.78,2.1
Lebu,0,CL,1584197319,32,-37.62,-73.65,18.85,4.74
Kenora,75,CA,1584197319,84,49.82,-94.43,-17.0,2.08
Merritt,84,CA,1584197102,33,50.11,-120.79,-9.0,2.95
Río Gallegos,88,AR,1584197255,33,-51.62,-69.22,17.0,7.2
Tuktoyaktuk,90,CA,1584197319,79,69.45,-133.04,-6.0,10.8
Flin Flon,75,CA,1584197062,82,54.77,-101.86,-28.0,1.5
Half Moon Bay,90,US,1584197319,87,37.46,-122.43,12.0,6.7
Pacifica,90,US,1584197221,87,37.61,-122.49,12.0,6.7
Fortuna,90,US,1584197319,100,40.6,-124.16,6.0,3.1
Iqaluit,5,CA,1584197319,60,63.75,-68.51,-31.67,6.7
Paraná,100,AR,1584197224,25,-31.73,-60.52,39.05,2.83
São Gabriel da Cachoeira,75,BR,1584197319,94,-0.13,-67.09,27.0,1.5
Davenport,90,US,1584197231,91,41.52,-90.58,2.22,5.1
Coronado,90,US,1584197319,93,32.69,-117.18,16.11,1.74
Hamilton,90,US,1584197050,61,39.18,-84.53,6.67,3.6
Sioux Lookout,75,CA,1584197320,77,50.1,-91.92,-14.0,2.6
Saucillo,100,MX,1584197320,45,28.02,-105.28,18.35,2.04
Guerrero Negro,0,MX,1584197320,79,27.98,-114.06,15.55,2.21
Guayaramerín,40,BO,1584197320,74,-10.84,-65.36,30.0,1.0
Ascension,90,US,1584197093,88,30.22,-90.9,22.22,4.1
Clyde River,5,CA,1584197320,68,70.47,-68.59,-29.0,3.1
College,1,US,1584197320,84,64.86,-147.8,-10.56,1.35
Norman Wells,75,CA,1584197320,84,65.28,-126.83,-18.0,1.5
Durango,100,MX,1584197320,40,24.83,-104.83,14.95,1.03
Dzilam González,0,MX,1584197320,79,21.28,-88.93,24.55,5.63
Uribia,32,CO,1584197320,46,11.71,-72.27,30.75,4.52
Todos Santos,40,MX,1584197164,88,23.45,-110.22,20.56,5.1
Eirunepé,100,BR,1584197320,60,-6.66,-69.87,31.75,0.24
Cockburn Town,0,TC,1584197320,74,21.46,-71.14,25.05,7.97
Requena,60,ES,1584197320,56,39.49,-1.1,20.56,3.1
Dickinson,90,US,1584197315,94,29.46,-95.05,23.89,2.1
Bethel,20,US,1584197244,45,41.37,-73.41,8.89,8.2
Avera,90,US,1584197321,52,33.19,-82.53,23.0,3.1
Old Town,75,US,1584197321,41,44.93,-68.65,6.11,6.7
Los Lunas,1,US,1584197321,86,34.81,-106.73,6.67,1.5
Baní,40,DO,1584197321,69,18.28,-70.33,28.0,4.1
Cerritos,90,US,1584197321,87,33.86,-118.06,14.44,1.5
Nantucket,1,US,1584197100,52,41.28,-70.1,8.33,8.2
Valparaíso,30,CL,1584197321,77,-33.04,-71.63,18.0,2.1
Powell River,20,CA,1584197321,33,49.85,-124.54,-1.0,1.0
Esmeraldas,75,BR,1584197321,58,-19.76,-44.31,28.0,3.6
Cauquenes,100,CL,1584197321,17,-35.97,-72.32,22.05,3.06
Chapleau,20,CA,1584197321,67,47.84,-83.4,-8.0,4.6
La Palma,90,US,1584197321,87,33.85,-118.05,14.44,1.5
High Level,40,CA,1584197321,74,58.52,-117.14,-33.0,1.77
Acapulco de Juárez,40,MX,1584197115,78,16.86,-99.89,26.0,1.5
San Jose,90,US,1584197306,87,37.34,-121.89,12.0,6.7
Manitouwadge,40,CA,1584197322,78,49.12,-85.84,-10.0,4.1
Cedar Lake,90,US,1584197320,59,41.36,-87.44,3.33,2.6
Ancud,0,CL,1584197322,71,-41.87,-73.82,14.0,1.5
Castle Rock,1,US,1584197322,92,39.37,-104.86,1.67,2.6
Faanui,21,PF,1584197322,79,-16.48,-151.75,28.15,6.67
Edson,90,CA,1584197107,76,53.58,-116.44,-23.0,1.5
Rathdrum,90,US,1584197322,85,47.81,-116.89,-8.0,12.3
Lavaca,75,US,1584197195,88,28.61,-96.63,24.44,6.7
Matamoros,40,MX,1584196824,35,25.53,-103.25,21.0,0.68
Andros Town,75,BS,1584197322,73,24.7,-77.77,25.0,5.7
Muisne,90,EC,1584197322,94,0.6,-80.03,25.0,2.6
Ketchikan,1,US,1584197192,49,55.34,-131.65,0.0,2.6
Chicama,90,PE,1584197322,88,-7.84,-79.15,23.0,3.6
Van Buren,90,US,1584197323,93,35.44,-94.35,8.0,2.6
Ada,75,US,1584197035,93,43.42,-116.13,6.0,3.1
Halifax,75,CA,1584196532,60,44.65,-63.57,7.22,7.2
San Fernando,75,PH,1584197323,88,15.03,120.69,28.33,2.1
Port-Cartier,90,CA,1584197323,85,50.03,-66.87,-5.0,1.13
Jutaí,88,BR,1584197323,52,-5.18,-68.9,33.75,0.86
Virginia Beach,1,US,1584197225,28,36.85,-75.98,14.44,4.1
Brigantine,1,US,1584197035,34,39.41,-74.36,10.56,5.7
Pueblo Nuevo,100,MX,1584197323,28,23.38,-105.38,18.65,1.78
Bowling Green,90,US,1584197262,49,36.99,-86.44,11.0,4.6
Pangnirtung,5,CA,1584197323,67,66.15,-65.71,-31.0,1.0
Shelburne,90,CA,1584197323,69,44.08,-80.2,1.11,3.1
Salinas,90,US,1584197063,93,36.68,-121.66,11.67,3.1
Bahía Solano,47,CO,1584197323,81,6.23,-77.4,26.15,2.87
Fairbanks,1,US,1584197189,84,64.84,-147.72,-10.56,0.77
Pochutla,5,MX,1584197323,69,15.74,-96.47,28.33,2.69
Aklavik,75,CA,1584197324,85,68.22,-135.01,-5.0,1.0
Plainview,1,US,1584197191,34,40.78,-73.47,9.0,4.1
Corrales,1,US,1584197324,86,35.24,-106.61,6.67,1.5
Smithers,5,CA,1584197324,64,54.78,-127.17,-19.0,1.0
Ahome,0,MX,1584197231,73,25.92,-109.18,18.89,2.24
Indian Head,1,US,1584197038,37,38.6,-77.16,11.11,1.5
Miraflores,5,MX,1584197324,45,19.22,-98.81,22.0,2.1
Terrace,5,CA,1584197293,31,54.52,-128.6,-8.0,5.1
Elko,90,US,1584197324,61,41.0,-115.5,8.0,7.7
Comodoro Rivadavia,0,AR,1584197324,39,-45.87,-67.5,18.0,6.2
Lucea,20,JM,1584197324,69,18.45,-78.17,29.44,7.7
San Luis,100,AR,1584197324,29,-33.3,-66.34,21.15,9.53
Owensboro,90,US,1584197324,73,37.77,-87.11,7.0,4.1
Dovers,2,VC,1584197324,81,12.88,-61.18,25.75,6.58
Mórrope,100,PE,1584197324,29,-6.54,-80.01,19.0,4.6
Mitchell,90,US,1584197325,79,43.71,-98.03,-4.0,7.2
San Cristobal,75,VE,1584197286,94,7.77,-72.22,23.0,2.6
Celestún,0,MX,1584197325,80,20.87,-90.4,24.25,6.3
Kahului,90,US,1584197325,83,20.89,-156.47,22.0,2.1
Rawson,0,AR,1584197325,57,-43.3,-65.1,17.05,6.01
Pimentel,100,PE,1584197325,29,-6.84,-79.93,19.0,4.6
Antofagasta,40,CL,1584197293,77,-23.65,-70.4,22.22,3.1
Havre-St-Pierre,75,CA,1584197325,85,50.23,-63.6,-5.0,2.6
Worland,1,US,1584197325,86,44.02,-107.96,0.0,1.5
Chimbarongo,20,CL,1584197325,72,-34.7,-71.05,22.22,3.6
Boa Vista,40,BR,1584197325,49,2.82,-60.67,32.0,7.2
Bathurst,17,AU,1584197201,81,-33.42,149.58,9.44,0.45
Liverpool,40,GB,1584197325,76,53.41,-2.98,12.22,5.7
Assiniboia,100,CA,1584197325,64,49.63,-105.98,-11.75,7.69
Progreso,5,MX,1584197326,78,21.28,-89.67,27.22,7.2
Tautira,9,PF,1584197326,83,-17.73,-149.15,26.0,2.1
Moose Factory,20,CA,1584197326,77,51.26,-80.61,-15.0,5.7
Anta,0,IN,1584197326,23,25.15,76.3,20.75,3.59
La Santisima Trinidad,75,BO,1584197326,70,-14.83,-64.9,32.0,1.03
Oranjestad,40,AW,1584197326,66,12.52,-70.03,29.0,6.7
Riohacha,20,CO,1584197326,51,11.54,-72.91,30.0,5.1
Estelle,75,US,1584197206,78,29.85,-90.11,22.78,5.7
Healdsburg,90,US,1584197171,100,38.61,-122.87,9.0,1.34
Manta,75,EC,1584197326,88,-0.95,-80.73,25.0,1.5
Washington,90,US,1584197185,58,47.5,-120.5,-2.0,9.3
Valledupar,0,CO,1584197326,54,10.46,-73.25,29.0,6.7
Ukiah,90,US,1584197326,87,39.15,-123.21,7.22,1.5
Iralaya,9,HN,1584197326,78,15.0,-83.23,26.55,6.46
Haines Junction,0,CA,1584197326,64,60.75,-137.51,-14.15,1.17
Cardston,90,CA,1584197327,77,49.2,-113.3,-18.89,8.7
Ucluelet,20,CA,1584197327,31,48.93,-125.55,2.0,5.7
Bariloche,0,AR,1584197285,53,-41.15,-71.31,11.0,3.6
Sedro-Woolley,90,US,1584197327,40,48.5,-122.24,2.22,5.1
Coos Bay,90,US,1584197327,93,43.37,-124.22,4.44,2.6
Hay River,40,CA,1584197327,69,60.82,-115.8,-23.0,4.6
Kapuskasing,40,CA,1584197327,71,49.42,-82.43,-13.0,7.7
Montague,20,US,1584197107,45,42.54,-72.54,8.33,5.1
El Playón,75,CO,1584197327,100,7.47,-73.2,20.0,1.5
Panama City,20,PA,1584197327,62,8.99,-79.52,32.22,3.1
Campbell River,20,CA,1584197216,32,50.02,-125.24,-1.0,3.6
Kenai,40,US,1584197327,83,60.55,-151.26,-10.56,1.5
Monterey,90,US,1584197327,81,36.25,-121.25,11.0,1.33
Del Rio,75,US,1584197327,88,29.36,-100.9,22.0,2.6
Winnemucca,75,US,1584197328,45,40.97,-117.74,7.0,5.7
Garden City,1,US,1584197084,59,42.33,-83.33,2.22,1.5
Paraíso,20,CR,1584197328,64,9.84,-83.87,24.0,9.3
Albert Lea,75,US,1584197206,73,43.65,-93.37,-1.0,2.6
Tomatlán,0,MX,1584197164,42,19.93,-105.25,24.55,0.37
Palmer,40,US,1584197328,45,42.16,-72.33,8.33,7.2
Pauini,100,BR,1584197096,56,-7.71,-66.98,33.35,0.64
Inuvik,75,CA,1584197328,62,68.35,-133.72,-5.0,2.6
Córdoba,75,AR,1584197328,73,-31.41,-64.18,22.78,9.8
Paramonga,40,PE,1584197328,85,-10.67,-77.83,23.15,4.23
Camaná,91,PE,1584197328,74,-16.62,-72.71,21.95,2.61
Bay Saint Louis,75,US,1584197328,94,30.31,-89.33,22.22,2.1
Clarence Town,90,AU,1584197328,68,-32.58,151.78,19.0,8.7
North Platte,90,US,1584197328,92,41.12,-100.77,-1.0,7.7
Rodrigues Alves,75,BR,1584197328,88,-7.74,-72.65,27.0,1.5
Danbury,1,US,1584197088,41,41.39,-73.45,8.89,7.2
Moa,16,CU,1584197329,71,20.66,-74.94,24.25,4.46
Barranca,1,PE,1584197329,91,-10.75,-77.77,23.15,4.77
Ocampo,38,MX,1584197329,53,21.65,-101.5,17.55,1.3
Oyón,31,PE,1584197329,51,-10.67,-76.77,11.45,1.66
Valle Hermoso,90,MX,1584197329,83,25.67,-97.83,24.0,9.8
Champerico,40,GT,1584197329,78,14.3,-91.92,25.0,0.88
Belle Fourche,90,US,1584197329,92,44.67,-103.85,-1.67,8.7
Big Spring,90,US,1584197229,100,32.25,-101.48,11.0,4.1
Juliaca,40,PE,1584197225,66,-15.5,-70.13,11.0,1.0
Fort Smith,90,US,1584197329,93,35.39,-94.4,7.22,2.6
Lima,20,PE,1584197287,73,-12.04,-77.03,25.0,2.6
Salisbury,75,GB,1584197329,81,51.07,-1.8,12.22,6.7
Emmett,75,US,1584197329,93,43.87,-116.5,6.0,3.1
Carauari,100,BR,1584197329,55,-4.88,-66.9,33.95,0.62
Maple Creek,100,CA,1584197329,90,49.92,-109.48,-13.45,6.58
Sonoita,0,MX,1584197329,79,31.85,-112.83,12.22,2.87
Tingo María,90,PE,1584197330,88,-9.29,-76.01,23.0,1.0
Paita,40,PE,1584197330,100,-5.09,-81.11,17.0,6.2
Pascagoula,75,US,1584197330,94,30.37,-88.56,22.22,2.1
La Libertad,75,EC,1584197330,83,-2.23,-80.9,26.0,4.1
Souris,75,CA,1584197330,70,49.62,-100.26,-17.0,4.6
Río Cuarto,90,AR,1584197330,77,-33.13,-64.35,18.0,10.3
Barcelona,40,ES,1584197075,72,41.39,2.16,18.33,3.6
San Anselmo,90,US,1584197330,100,37.97,-122.56,12.0,2.67
Spencer,90,US,1584197330,79,43.14,-95.14,-2.78,5.7
San Rafael,93,AR,1584197330,24,-34.62,-68.33,15.95,4.16
The Valley,40,AI,1584197330,65,18.22,-63.06,27.0,2.1
Houma,90,US,1584197088,88,29.6,-90.72,23.0,3.6
Teahupoo,36,PF,1584197330,83,-17.83,-149.27,26.0,2.1
Plateros,5,MX,1584197330,76,23.22,-102.85,10.0,1.01
Santiago del Estero,73,AR,1584197330,30,-27.8,-64.26,37.45,7.86
Fare,0,PF,1584197331,78,-16.7,-151.02,28.15,7.35
Hauterive,40,FR,1584197331,46,46.09,3.45,12.0,1.5
Bismarck,90,US,1584197101,85,46.81,-100.78,-7.78,8.2
Shellbrook,90,CA,1584197135,69,53.22,-106.4,-22.0,3.44
Republic,90,US,1584197331,93,37.12,-93.48,3.33,6.2
Ocosingo,49,MX,1584197331,75,17.07,-92.25,20.25,1.44
Marsh Harbour,3,BS,1584197331,80,26.54,-77.06,23.45,5.43
Talara,40,PE,1584197331,100,-4.58,-81.27,17.0,6.2
Guamúchil,93,MX,1584197331,94,25.47,-108.1,18.89,0.6
Lumberton,1,US,1584197331,36,34.62,-79.01,18.0,5.1
Provost,100,CA,1584197331,97,52.35,-110.27,-19.35,4.84
Valdivia,20,CL,1584197201,87,-39.81,-73.25,13.0,1.0
General Roca,0,AR,1584197331,34,-39.03,-67.58,18.0,3.1
Kearney,90,US,1584197258,97,40.7,-99.08,0.0,8.7
Mt. Pleasant,75,US,1584197117,35,32.79,-79.86,22.0,3.36
Rancho Palos Verdes,90,US,1584197195,87,33.74,-118.39,14.44,1.5
Bemidji,1,US,1584197332,78,47.47,-94.88,-9.44,2.6
Road Town,20,VG,1584197088,69,18.42,-64.62,28.0,2.1
Starkville,90,US,1584197076,87,33.45,-88.82,15.0,2.6
Grass Valley,90,US,1584197332,100,39.22,-121.06,11.0,2.1
Puerto Escondido,5,MX,1584197165,73,15.85,-97.07,24.0,3.6
Isla Mujeres,40,MX,1584197332,65,21.23,-86.73,27.0,4.6
Cordele,1,US,1584197332,77,31.96,-83.78,22.0,2.46
Benjamín Hill,0,MX,1584197332,88,30.17,-111.1,9.44,1.79
San Diego de Los Baños,16,CU,1584197332,64,22.65,-83.37,26.75,5.9
Campoverde,75,PE,1584197323,100,-8.48,-74.81,2.0,2.6
Chanute,90,US,1584197332,86,37.68,-95.46,4.0,6.7
Sechura,39,PE,1584197332,87,-5.56,-80.82,23.95,2.15
Ciudad Mante,95,MX,1584197332,73,22.73,-98.97,24.44,2.24
Myrtle Grove,75,US,1584197332,88,30.42,-87.31,21.11,2.6
Saint-Augustin,100,CA,1584197333,82,51.23,-58.65,-0.75,12.62
Andrews,90,US,1584197333,100,32.32,-102.55,12.0,0.99
Craig,90,US,1584197333,80,40.52,-107.55,3.0,2.47
Cartagena,20,CO,1584197333,66,10.4,-75.51,30.0,3.1
West Wendover,90,US,1584197333,65,40.74,-114.07,7.0,3.6
Vernon,1,CA,1584197333,52,50.26,-119.27,-7.0,7.2
Rosarito,90,MX,1584197333,93,32.33,-117.03,16.11,1.74
Yarmouth,1,US,1584197333,39,41.71,-70.23,9.0,3.6
Santa Marta,5,CO,1584197333,74,11.24,-74.2,30.0,2.1
Bull Savanna,1,JM,1584197333,53,17.89,-77.59,26.45,3.75
Warrington,40,GB,1584197204,76,53.39,-2.58,12.22,5.7
Lamar,90,US,1584197333,100,33.67,-95.58,16.0,4.6
Hilton Head,20,US,1584197333,64,32.22,-80.75,24.0,4.6
Punta de Bombón,100,PE,1584197333,82,-17.17,-71.79,21.55,2.56
Cambridge,90,CA,1584197333,66,43.36,-80.31,3.33,6.2
Province of Mantua,75,IT,1584197333,58,45.17,10.78,13.89,1.5
Newport,90,GB,1584197154,81,51.59,-3.0,12.22,8.7
Edinburgh,40,GB,1584197216,66,55.95,-3.2,11.0,7.7
Hueyotlipan,5,MX,1584197334,58,18.9,-97.85,17.78,3.1
Acarí,91,PE,1584197334,74,-15.43,-74.62,21.85,2.69
May Pen,20,JM,1584197334,58,17.96,-77.25,29.0,2.6
Morant Bay,20,JM,1584197334,58,17.88,-76.41,29.0,2.6
El Bagre,82,CO,1584197334,64,7.59,-74.81,29.75,0.62
Juli,38,PE,1584197334,63,-16.22,-69.45,11.35,3.49
Freeport,1,US,1584197254,34,40.66,-73.58,9.0,4.1
Springfield,90,US,1584197188,93,37.22,-93.3,3.89,6.2
Baie-Comeau,90,CA,1584197334,68,49.22,-68.15,0.0,10.8
Humaitá,100,BR,1584197334,56,-7.51,-63.02,33.25,1.22
Taltal,0,CL,1584197334,70,-25.4,-70.48,20.35,3.14
Englewood,90,US,1584197327,61,39.65,-104.99,1.11,2.1
Viedma,0,AR,1584197334,41,-40.81,-63.0,19.65,8.83
San Luis Potosí,5,MX,1584196801,93,22.5,-100.5,20.56,2.1
Iowa City,90,US,1584197335,100,41.66,-91.53,2.22,4.1
Alice Town,74,BS,1584197335,79,25.72,-79.3,23.85,7.01
Urubichá,75,BO,1584197335,40,-15.38,-62.95,35.95,1.48
Peru,90,US,1584197198,80,40.75,-86.07,3.33,2.1
Guane,1,CU,1584197335,74,22.2,-84.09,25.95,8.35
Flower Mound,75,US,1584197335,83,33.01,-97.1,21.67,6.2
Fallon,1,US,1584197204,45,39.47,-118.78,8.0,6.7
Bryan,90,US,1584197133,100,30.67,-96.37,23.0,4.1
Bar Harbor,90,US,1584197335,48,44.39,-68.2,6.11,5.1
Panabá,0,MX,1584197335,58,21.28,-88.27,27.45,3.45
North Bend,90,US,1584197335,93,43.41,-124.22,4.44,2.6
Nakusp,100,CA,1584197335,96,50.25,-117.8,-15.55,3.26
Ojinaga,1,MX,1584197335,42,29.57,-104.42,18.0,2.6
Washougal,90,US,1584197335,86,45.58,-122.35,2.0,5.1
Chandler,1,US,1584197336,93,33.31,-111.84,12.78,2.6
Lumsden,90,CA,1584197102,77,50.65,-104.87,-14.0,5.7
Sicuani,97,PE,1584197336,88,-14.27,-71.23,4.55,0.17
La Asuncion,0,VE,1584197336,74,11.03,-63.86,28.0,5.7
Corinth,98,GR,1584197336,38,37.94,22.96,23.0,2.6
Fort Stewart,1,US,1584197336,69,31.87,-81.61,25.56,2.21
Kanasín,5,MX,1584197336,78,20.93,-89.57,27.22,7.2
Carora,0,VE,1584197336,47,10.18,-70.08,26.35,2.12
Tambo,18,PE,1584197336,65,-14.8,-73.92,14.95,3.75
Puerto Carreño,97,CO,1584197336,56,6.19,-67.49,30.05,2.17
Xalapa,0,MX,1584197175,63,19.53,-96.92,18.95,1.84
Rumford,20,US,1584197336,48,44.55,-70.55,5.56,5.1
Yurimaguas,75,PE,1584197337,100,-5.9,-76.08,9.0,1.21
‘Ewa Beach,20,US,1584197337,73,21.32,-158.01,23.0,1.74
Santa Barbara,90,US,1584197337,87,34.42,-119.7,13.0,1.5
Tyler,90,US,1584197081,88,32.35,-95.3,21.67,5.9
La Rioja,0,ES,1584197337,36,42.25,-2.5,17.0,3.1
Alexandria,0,EG,1584197321,65,31.22,29.96,19.45,3.89
San Buenaventura,57,MX,1584197106,86,27.08,-101.53,21.11,1.34
Whitecourt,40,CA,1584197337,75,54.15,-115.69,-27.0,2.1
Villamontes,64,BO,1584197337,31,-21.25,-63.5,35.25,3.79
Waldoboro,75,US,1584197337,56,44.1,-69.38,7.22,9.8
George Town,20,MY,1584197337,74,5.41,100.34,30.0,2.1
Dauphin,75,CA,1584197337,77,51.15,-100.05,-18.0,1.0
Chicla,90,PE,1584197337,53,-11.71,-76.27,9.35,0.5
Jacksonville,1,US,1584197266,60,30.33,-81.66,25.0,1.5
Cheyenne,90,US,1584197301,86,41.14,-104.82,-0.56,6.2
Isabela,80,PH,1584197338,92,6.71,121.97,23.05,1.83
Ixtapa,5,MX,1584197338,93,20.7,-105.2,22.78,1.5
Havelock,20,US,1584197182,33,34.88,-76.9,18.33,6.2
Coyhaique,20,CL,1584197338,50,-45.58,-72.07,14.0,1.5
Codrington,83,AU,1584197338,76,-38.27,141.97,14.35,7.56
Mulegé,0,MX,1584197338,67,26.88,-111.98,17.65,2.05
Wasilla,1,US,1584197338,77,61.58,-149.44,-11.11,0.17
Erie,90,US,1584197338,69,42.77,-78.67,2.78,3.6
Philadelphia,1,US,1584197232,33,39.95,-75.16,10.0,5.1
Marigot,40,MF,1584197338,65,18.07,-63.08,28.0,2.1
Bon Accord,75,CA,1584197338,70,53.83,-113.42,-18.33,5.1
Talavera,75,PH,1584197338,88,15.62,120.93,26.0,2.1
Prince Rupert,1,CA,1584197338,62,54.32,-130.32,-6.0,3.6
Las Vegas,40,US,1584197079,81,36.17,-115.14,13.0,4.6
Hoquiam,90,US,1584197339,86,46.98,-123.89,3.0,3.6
Effingham County,1,US,1584197339,64,32.37,-81.33,25.56,2.6
Humboldt,90,US,1584197339,100,40.67,-123.92,6.0,3.1
Meadow Lake,1,US,1584197107,86,34.8,-106.54,6.67,1.5
Pucallpa,100,PE,1584197339,50,-8.38,-74.55,33.35,0.98
Rock Sound,0,BS,1584197339,81,24.9,-76.2,23.35,7.32
Dryden,1,CA,1584197339,84,49.78,-92.75,-14.0,2.6
Segovia,0,ES,1584197339,47,41.17,-4.0,20.0,1.79
Flagstaff,90,US,1584197339,89,35.2,-111.65,8.89,2.1
Thibodaux,90,US,1584197339,83,29.8,-90.82,23.0,3.1
